Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Latitude,Longitude
AT&T,CCL00099,Hwy 101 & Silver,5431A,012,M1,65-J,Commercial,,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,72,Melissa Murphree,925-963-8027,,37.72588,-122.40120
AT&T,CCL00100,SF_MTSO,3732,110,MUR,85-X/45-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,62,Melissa Murphree,925-963-8027,,37.78025,-122.40589
AT&T,CCL00103,Balboa Bart,6949,011,P,160-E,Public,,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,48,Melissa Murphree,925-963-8027,CCL06173 is a proposed replacement for CCL00103,37.72078,-122.44748
AT&T,CCL00118,Chinatown,0273,008,RC-4,65-A,Mixed Use,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,54,Melissa Murphree,925-963-8027,,37.79013,-122.41013
AT&T,CCL00127,Montgomery & 280,5869,013,NCD-Excelsior,40-X,Commercial,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,30,Melissa Murphree,925-963-8027,,37.73047,-122.42894
AT&T,CCL00139,101-280,5280,001,P,65-J,Public,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,56,Melissa Murphree,925-963-8027,,37.74024,-122.39340
AT&T,CCL00163,Market & 3rd,0266,006,C-3-O,450-S,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300,39000",16650,166,Melissa Murphree,925-963-8027,,37.79162,-122.39945
AT&T,CCL00181,SF Zoo/Lake Merced,7281,005,P,OS,Public,,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,43,Melissa Murphree,925-963-8027,,37.72786,-122.50346
AT&T,CCL00199,Fisherman's  Wharf,0056,007-008,C-2,65-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,78,Melissa Murphree,925-963-8027,,37.80550,-122.40550
AT&T,CCL00418,San Francisco III,0309,011,C-3-R,80-130-F,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,91,Melissa Murphree,925-963-8027,,37.78778,-122.40644
AT&T,CCL00432,Laguna Honda,2842,007,P,40-X/OS/80-D,Public,,"voice, video & data",wireless phones & modems,12,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,69,Melissa Murphree,925-963-8027,,37.74774,-122.45619
AT&T,CCL00447,Army & 101,4280,025,P,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,42,Melissa Murphree,925-963-8027,,37.75094,-122.40267
AT&T,CCL00452,Kezar Stadium,1206,003,RM-1,80-E,Senior Housing,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,90,Melissa Murphree,925-963-8027,,37.77412,-122.44132
AT&T,CCL00461,Richmond District,1518,033,NC-3,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,63,Melissa Murphree,925-963-8027,,37.77975,-122.48627
AT&T,CCL00463,Financial District,0116,020B,NCD-NORTH BEACH,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,83,Melissa Murphree,925-963-8027,,37.80000,-122.40867
AT&T,CCL00464,Ferry Building,3769,002A,RH DTR/M-1,84-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,97,Melissa Murphree,925-963-8027,,37.78901,-122.38868
AT&T,CCL00477,Innerside,1763,022,NCD-INNER SUNSET,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,85,Melissa Murphree,925-963-8027,,37.76239,-122.46586
AT&T,CCL00497,6th & Townsend,3783,008,UMU,68-X,Industrial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,62,Melissa Murphree,925-963-8027,,37.77233,-122.40254
AT&T,CCL00523,SF VA Hospital,1313,023,P,40-X,Public,,"voice, video & data",wireless phones & modems,10,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,68,Melissa Murphree,925-963-8027,,37.78167,-122.50461
AT&T,CCL00538,Bayshore & 280,5851,024,P,40-X,Public,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,73,Melissa Murphree,925-963-8027,,37.73532,-122.40764
AT&T,CCL00567,Bay Bridge West,3741,032,C-3-O(SD),200-S,Commercial,,"voice, video & data",wireless phones & modems,13,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,256,Melissa Murphree,925-963-8027,,37.79131,-122.39198
AT&T,CCL00575,St. Ignatius,2094,006,RH-1,40-X,Public,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,55,Melissa Murphree,925-963-8027,,37.74804,-122.49594
AT&T,CCL00703,South Pak,3788,041,SLI,65-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,77,Melissa Murphree,925-963-8027,,37.77968,-122.39281
AT&T,CCL00708,Mission District,3962,010,UMU,58-X,Public,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,61,Melissa Murphree,925-963-8027,CCL03306 is a proposed replacement for CCL00708,37.76467,-122.40817
AT&T,CCL00709,Mission Dolores,3542,017,NCT-Upper Mkt,40-X/50-X,Public,,"voice, video & data",wireless phones & modems,5,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,65,Melissa Murphree,925-963-8027,,37.76661,-122.43041
AT&T,CCL00710,Upper North Beach,0028,016,C-2,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,48,Melissa Murphree,925-963-8027,,37.80584,-122.41780
AT&T,CCL00725,Ingleside,3198,016,NCT-Ocean,45-X,Residential,,"voice, video & data",wireless phones & modems,7,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,46,Melissa Murphree,925-963-8027,,37.72435,-122.45714
AT&T,CCL00741,Union/Cow Hollow,0541,024,NCD,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,57,Melissa Murphree,925-963-8027,,37.79706,-122.43240
AT&T,CCL00866,Lowe Telegraph Hill,0164,012,C-2,65-A,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,82,Melissa Murphree,925-963-8027,,37.79778,-122.40361
AT&T,CCL00871,North Sunset,1865,004,RH-2,40-X,Residential,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,48,Melissa Murphree,925-963-8027,,37.75929,-122.47752
AT&T,CCL01036,Hunter's Pt,4591A,007,M-2/HP-RA,40-X,Industrial,,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,57,Melissa Murphree,925-963-8027,,37.72696,-122.37774
AT&T,CCL01046,Excelsior,6409,028,NCD-Excelsior,65-A,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,55,Melissa Murphree,925-963-8027,,37.71581,-122.43972
AT&T,CCL01231,Waller & Octavia,3503,003,NCT-3,85-X,Mixed Use,,"voice, video & data",wireless phones & modems,9,Interior,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,54,Melissa Murphree,925-963-8027,,37.77177,-122.42301
AT&T,CCL01253,Castle & Union,0108,007,C-2,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,50,Melissa Murphree,925-963-8027,,37.80184,-122.40088
AT&T,CCL01255,California & Powell,0243,017,RM-4,65-A,Fraternal Organization,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,61,Melissa Murphree,925-963-8027,,37.79233,-122.40901
AT&T,CCL01256,Wisconsin & 19th St,4007,002,PDR-1-G,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,63,Melissa Murphree,925-963-8027,,37.76265,-122.40091
AT&T,CCL01748,Francisco St. - Powell St.,0015,001,C-2,40-X,Public,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,44,Melissa Murphree,925-963-8027,,37.80836,-122.41211
AT&T,CCL01751,Clay & Jones,0253,020,RM-4,65-A,Public,,"voice, video & data",wireless phones & modems,2,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,83,Melissa Murphree,925-963-8027,,37.79142,-122.41283
AT&T,CCL01753,Leidesdorff & California,0240,001,C-3-O,250-S,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,48,Melissa Murphree,925-963-8027,,37.79366,-122.40310
AT&T,CCL01755,Hwy 280 & Division,3910,001,PDR-1-D,45-X,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,60,Melissa Murphree,925-963-8027,,37.76962,-122.40443
AT&T,CCL01757,Fillmore & Broadway,0636,022,NCD-Fillmore,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,32,Melissa Murphree,925-963-8027,CCL05455 is a proposed replacement for CCL01757,37.78944,-122.43372
AT&T,CCL01760,15th & Florida,3928,013,PDR-1-G,68-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,51,Melissa Murphree,925-963-8027,,37.76626,-122.41138
AT&T,CCL01762,Child & Lombard,0089,001,NCD-NORTH BEACH,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,25,Melissa Murphree,925-963-8027,,37.80221,-122.40966
AT&T,CCL01770,California & Davis,0234,017,C-3-O,200-S,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,44,Melissa Murphree,925-963-8027,,37.79389,-122.39583
AT&T,CCL01771,Hwy 101 & Bayshore,5286A,003,PDR-2,65-J,Industrial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,42,Melissa Murphree,925-963-8027,,37.74402,-122.40246
AT&T,CCL01848,Pacific Av And Jones St,0183,001,NCD-PACIFIC,40-X,N/A,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,25,Melissa Murphree,925-963-8027,,37.79572,-122.41517
AT&T,CCL01852,Hyde - Bay St,0452,008,C-2,40-X,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,78,Melissa Murphree,925-963-8027,,37.80561,-122.42224
AT&T,CCL02102,Claremont & Portola,2989B,032,NCD-West Portal,26-X,N/A,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,31,Melissa Murphree,925-963-8027,,37.73947,-122.46704
AT&T,CCL02159,Bill Graham Presents,0812,001,P,80-X,Mixed Use,,"voice, video & data",wireless phones & modems,15,Rooftop,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,84.5,Melissa Murphree,925-963-8027,,37.77782,-122.41679
AT&T,CCL02264,Geary & Powell,0296,006,C-3-R,80-130F,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,47,Melissa Murphree,925-963-8027,,37.78841,-122.40861
AT&T,CCL02271,3rd & Folsom,3750,087-088,C-3-S,200-S,Commercial,,"voice, video & data",wireless phones & modems,16,Interior,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,50,Melissa Murphree,925-963-8027,,37.78495,-122.39651
AT&T,CCL02357,Market & 7th,0350,004,C-3-G,120-X,Commercial,,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,60,Melissa Murphree,925-963-8027,,37.78145,-122.41178
AT&T,CCL02362,Spear St & Mission St,3748,031,RH-DTR,85-400-R,Fraternal Organization,,"voice, video & data",wireless phones & modems,9,Lower Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,59,Melissa Murphree,925-963-8027,,37.78648,-122.39303
AT&T,CCL02423,Page St/Shrader St,1248,001,NCD-Haight,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,47,Melissa Murphree,925-963-8027,,37.76931,-122.45096
AT&T,CCL02425,Taylor & Sutter,0283,009,C-3-G,160-F,Mixed Use,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,92,Melissa Murphree,925-963-8027,,37.78903,-122.41178
AT&T,CCL02426,Spear & Howard,3715,003,C-2/C-3-O,84-X,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,95,Melissa Murphree,925-963-8027,,37.79305,-122.39255
AT&T,CCL02427,Market & Sutter,0291,005,C-3-O,300-S,Commercial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300,39000",16650,119,Melissa Murphree,925-963-8027,,37.78987,-122.40120
AT&T,CCL02429,Brentwood/Yerba Buena,3553,014,PDR-1-G,68-X,Residential,,"voice, video & data",wireless phones & modems,24,Rooftop,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,77.9,Melissa Murphree,925-963-8027,,37.76535,-122.41827
AT&T,CCL02735,Blue Poly-Lower Pacific -DAS Node,N/A,N/A,RH-2,40-x,JPA,,"voice, video & data",wireless phones & modems,1,oDAS,"UMTS, LTE","700, 850, 1900,1700,2300",713,37,Melissa Murphree,925-963-8027,,37.78661,-122.46369
AT&T,CCL02738,Blue Poly-Lower Pacific -DAS Node,N/A,N/A,RH-2,40-x,JPA,,"voice, video & data",wireless phones & modems,1,oDAS,"UMTS, LTE","700, 850, 1900,1700,2300",713,37,Melissa Murphree,925-963-8027,,37.79131,-122.44292
AT&T,CCL02739,Blue Poly-Lower Pacific -DAS Node,N/A,N/A,RH-2,40-x,JPA,,"voice, video & data",wireless phones & modems,1,oDAS,"UMTS, LTE","700, 850, 1900,1700,2300",713,37,Melissa Murphree,925-963-8027,,37.79006,-122.44099
AT&T,CCL02741/Nob01A,Blue Poly-Nob Hill - DAS Node,N/A,N/A,RH-1,40-X,JPA,,"voice, video & data",wireless phones & modems,1,oDAS,"UMTS, LTE","700, 850, 1900,1700,2300",713,37,Melissa Murphree,925-963-8027,,37.80303,-122.41808
AT&T,CCL02741/Nob02A,Blue Poly-Nob Hill - DAS Node,N/A,N/A,RH-3,40-X,JPA,,"voice, video & data",wireless phones & modems,1,oDAS,"UMTS, LTE","700, 850, 1900,1700,2300",713,37,Melissa Murphree,925-963-8027,,37.80106,-122.42106
AT&T,CCL02741/Nob03B,Blue Poly-Nob Hill - DAS Node,N/A,N/A,RM-2,40-X,JPA,,"voice, video & data",wireless phones & modems,1,oDAS,"UMTS, LTE","700, 850, 1900,1700,2300",713,37,Melissa Murphree,925-963-8027,,37.79992,-122.41422
AT&T,CCL02742/Nob05A,Blue Poly-Nob Hill - DAS Node,N/A,N/A,RM-3,65-A,JPA,,"voice, video & data",wireless phones & modems,1,oDAS,"UMTS, LTE","700, 850, 1900,1700,2300",713,37,Melissa Murphree,925-963-8027,,37.79514,-122.41661
AT&T,CCL03008,Broadway_&_Sansome,0143,002,C-2,84-E,N/A,,"voice, video & data",wireless phones & modems,2,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",7182,56,Melissa Murphree,925-963-8027,CCL02320 is a proposed replacement for CCL03008,37.79872,-122.40245
AT&T,CCL03010,Leavenworth & Washington,0187,007,RM-3,65-A,Residential,,"voice, video & data",wireless phones & modems,2,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",7182,26,Melissa Murphree,925-963-8027,,37.79404,-122.41656
AT&T,CCL03021,2nd_&_Harrison,3763,001,SSO-Soma,40-X,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,67,Melissa Murphree,925-963-8027,CCL03235 is a proposed replacement for CCL03021,37.78411,-122.39517
AT&T,CCL03034,Marina_Safeway,0446,002,NC-S,40-X,Commercial,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,21,Melissa Murphree,925-963-8027,,37.80449,-122.43238
AT&T,CCL03043,Fulton_&_Stanyon,1191,023,RH-3,80-D,Residential,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,28,Melissa Murphree,925-963-8027,CCL02351 is a proposed replacement for CCL03043,37.77469,-122.45453
AT&T,CCL03055,Union_&_Octavia,0530,039-043,NCD-UNION,40-X,N/A,,"voice, video & data",wireless phones & modems,4,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",7182,29,Melissa Murphree,925-963-8027,,37.79812,-122.42917
AT&T,CCL03062,Franklin_&_Pine,0665,007,NC-3,130-E,N/A,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,27,Melissa Murphree,925-963-8027,,37.78836,-122.42374
AT&T,CCL03066,Pine_&_Jones,0252,004,RM-4,65-A,Mixed Use,,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",7182,31,Melissa Murphree,925-963-8027,,37.79052,-122.41408
AT&T,CCL03068,Clay_&_Taylor,0214,006,RM-3,65-A,N/A,,"voice, video & data",wireless phones & modems,1,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,31,Melissa Murphree,925-963-8027,,37.79364,-122.41319
AT&T,CCL03069,Sacramento - Stockton,0225,017,CRNC,65-85-N,Mixed Use,,"voice, video & data",wireless phones & modems,1,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,50,Melissa Murphree,925-963-8027,,37.79386,-122.40759
AT&T,CCL03070,Pine_&_Grant,0258,012,CCB,50-N,N/A,,"voice, video & data",wireless phones & modems,4,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,22,Melissa Murphree,925-963-8027,,37.79165,-122.40570
AT&T,CCL03105,I-80_&_7Th,3758,047,SALI,30-X,Commercial,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,39,Melissa Murphree,925-963-8027,,37.77439,-122.40721
AT&T,CCL03113,3rd_&_Gillman,5461,053,NC-3,40-X,N/A,,"voice, video & data",wireless phones & modems,2,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",7182,23,Melissa Murphree,925-963-8027,,37.72235,-122.39589
AT&T,CCL03203,CCL03203C,6595,003,RH-2,40-X,Public,,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,72,Melissa Murphree,925-963-8027,CCL03217 is a proposed permanent replacement for CCL03203. CCL03203 is a completed temporary replacement for CCL00724.,37.74659,-122.42138
AT&T,CCL03241,China Basin,8710,006,MB-RA,MB-RA,Vacant Lot,,"voice, video & data",wireless phones & modems,6,Ground Fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,59,Melissa Murphree,925-963-8027,CCL05681 is a proposed replacement for CCL03241,37.77064,-122.39522
AT&T,CCL03243,California & Davis,0237,006,C-3-0,75-x,Commercial,,"voice, video & data",wireless phones & modems,11,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,85,Melissa Murphree,925-963-8027,,37.79358,-122.39902
AT&T,CCL03328,7th St. & Minna St.,3727,001,WMUG,65-X,Commercial,,"voice, video & data",wireless phones & modems,16,basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,65,Melissa Murphree,925-963-8027,,37.77891,-122.41097
AT&T,CCL03332,Korean Evangelical Church,3152,037,RH-1,40-X,Church,,"voice, video & data",wireless phones & modems,14,Rooftop,"UMTS, LTE","700, 850, 1900,1700,2300",16650,47,Melissa Murphree,925-963-8027,,37.72697,-122.44114
AT&T,CCL04032,California & 5th,1364,019,NC-1,40-X,Commercial,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,38,Melissa Murphree,925-963-8027,,37.78532,-122.46297
AT&T,CCL04063,Geary St.,0316,001-001A,C-3-G,80-130-F,Commercial,,"voice, video & data",wireless phones & modems,7,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,95,Melissa Murphree,925-963-8027,,37.78680,-122.40995
AT&T,CCL04075,Potrero Hill,4173,001,PDR-1-G,68-X,Industrial,,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,68,Melissa Murphree,925-963-8027,,37.75709,-122.38765
AT&T,CCL04076,4th & Mission,3724,067,P,90-X/340-I,Parking Garage,,"voice, video & data",wireless phones & modems,4,6th fl,"UMTS, LTE","700, 850, 1900,1700,2300",16650,58,Melissa Murphree,925-963-8027,,37.78424,-122.40419
AT&T,CCL04095,Portola Dr,2892,004,RH-1,40-X,Church,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,54,Melissa Murphree,925-963-8027,,37.74497,-122.45318
AT&T,CCL04942,Hyde / Francisco,0090,030,NCD-North Beach,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,55,Melissa Murphree,925-963-8027,,37.80196,-122.41168
AT&T,CCL04944,Chestnut & Scott,0929,009,NC-2,40-X,Mixed Use,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,51,Melissa Murphree,925-963-8027,,37.80037,-122.44150
AT&T,CCL04946,Broadway & Gough,0577,001,RM-3,80-A,Residential,,"voice, video & data",wireless phones & modems,4,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,101,Melissa Murphree,925-963-8027,,37.79516,-122.42686
AT&T,CCL04948,On Lok Day Services,6657,063,RH-2,40-X,Convalescent home,,"voice, video & data",wireless phones & modems,9,Ground Fl,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,49,Melissa Murphree,925-963-8027,,37.74206,-122.42508
AT&T,CCL05158,Spur Urban Center,3722,069,C-3-0(SD),350-S,Commercial,,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,65,Melissa Murphree,925-963-8027,,37.78696,-122.40082
AT&T,CCL05200,Taylor Jefferson,0012,001,C-2,40-X,Commercial,,"voice, video & data",wireless phones & modems,7,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,55,Melissa Murphree,925-963-8027,,37.80806,-122.41601
AT&T,CCL05209,Union St. & Franklin St.,0549,015,Polk St NCD,65-A,Commercial,,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",16650,65,Melissa Murphree,925-963-8027,,37.79758,-122.42196
