Carrier,ID,Address,Search Ring Name ID,Block,Lot,Zoning District,Height and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment,Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,LAT,LONG
AT&T,CCL05578,300 Thru 318 Columbus Avenue,Columbus & Broadway,TBD,TBD,TBD,TBD,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
AT&T,TBD,30 Onodaga Avenue,TBD,6956,23,NCD,40-X,TBD,,"voice, video & data",wireless phones & modems,TBD,TBD,"UMTS, LTE, 5G","700, 850, 1900,1700,2300",TBD,,Melissa Murphree,925-963-8027,,,
Tmobile,BA10038A,5655 Mission St.,,6474,034,NCD,40-X,non-bldg,,,,3,Ground,,1900/2100,,36,Rana.Christie30@T-Mobile.com,,,37.710305,-122.447774
Tmobile,BA10274A,2525 Alemany,,7045,1,RH-1,40-X,Public,,,,6,Bell Tower,,600/700/1900/2100/2500,,39,Rana.Christie30@T-Mobile.com,,,37.715036,-122.445768
Tmobile,SF03003A,1400 LOMBARD ST,,0498,010,RC-3,65-A,Mixed-Use,,,,9,Roof,,600/700/1900/2100/2500,,58,Rana.Christie30@T-Mobile.com,,,37.801378,-122.425131
Tmobile,SF03006A,555 PINE ST (BTS located at actual address 430 Bus,,0270,037,C-3-R,80-130-F,Office,,,,9,Roof,,1900/2100/2500,,89,Rana.Christie30@T-Mobile.com,,,37.790719,-122.40508
Tmobile,SF03010A,1485 BUSH ST,,0670,017,RC-4,130-V,Commercial,,,,9,Basement,,600/700/1900/2100/2500,,63,Rana.Christie30@T-Mobile.com,,,37.788333,-122.421694
Tmobile,SF03012A,1930 STEINER ST,,0659,020,FILLMORE,40-X,Quasi-Public,,,,9,Roof,,600/700/1900/2100/2500,,63,Rana.Christie30@T-Mobile.com,,,37.78750023,-122.435001
Tmobile,SF03017A,2324 MARKET ST,,3562,004,UPR MARKET,50-X,Residential,,,,9,Roof,,600/700/1900/2100/2500,,61,Rana.Christie30@T-Mobile.com,,,37.763756,-122.433937
Tmobile,SF03018A,2560 MARIN ST,,4339,007,M-2,65-J,Industrial,,,,9,Roof,,600/700/1900/2100/2500,,37,Rana.Christie30@T-Mobile.com,,,37.748703,-122.403346
Tmobile,SF03026A,2 HENRY ADAMS ST # 98,,3910,001,M-2,40-X,Industrial,,,,9,Penthouse,,600/700/1900/2100/2500,,74,Rana.Christie30@T-Mobile.com,,,37.76886044,-122.404722
Tmobile,SF03029A,3333 25TH ST,,6527,045,RM-2,50-X,Quasi-Public,,,,9,Internal,,600/700/1900/2100/2500,,85,Rana.Christie30@T-Mobile.com,,,37.750302,-122.417105
Tmobile,SF03030A,770 GOLDEN GATE AVE,,0761,028,NC-3,50-X,Office,,,,9,Roof,,600/700/1900/2100/2500,,56,Rana.Christie30@T-Mobile.com,,,37.780916,-122.423555
Tmobile,SF03032A,1701 JERROLD AVE,,5280,001,P,65-J,Public,,,,9,Internal,,600/700/1900/2100/2500,,56,Rana.Christie30@T-Mobile.com,,,37.73992,-122.39369
Tmobile,SF03035A,185 BERRY ST,,3803,005,M-2,90-X,Office,,,,10,Roof,,600/700/1900/2100/2500,,98,Rana.Christie30@T-Mobile.com,,,37.775666,-122.392472
Tmobile,SF03037A,959 PERALTA AVE # 999,,5695,024,NC-S,40-X,Commercial,,,,9,Ground,,600/700/1900/2100/2500,,40,Rana.Christie30@T-Mobile.com,,,37.737694,-122.4085
Tmobile,SF03040B,2011 Bayshore Blvd,,TBD,TBD,NC-S,40-X,Nbr-Com,,,,9,Internal,,600/700/1900/2100/2500,,50,Rana.Christie30@T-Mobile.com,,,37.71467878,-122.398571
Tmobile,SF03047A,6150 3RD ST,,6431A,001M,M-1,65-J,Industrial,,,,9,Roof,,600/700/1900/2100/2500,,50,Rana.Christie30@T-Mobile.com,,,37.723288,-122.395996
Tmobile,SF03048A,2160 VAN NESS AVE,,0574,018,RC-4,80-D,Residential,,,,6,Roof,,600/700/1900/2100/2500,,58,Rana.Christie30@T-Mobile.com,,,37.7956068,-122.422989
Tmobile,SF03064A,30 ONONDAGA AVE,,6956,023,NC-3,65-A,Nbr-Com,,,,9,Roof,,600/700/1900/2100/2500,,73,Rana.Christie30@T-Mobile.com,,,37.721868,-122.437978
Tmobile,SF03076A,301 S VAN NESS AVE # 307,,0786,TBD,P,96-X,Public,,,,12,Shelter,,600/700/1900/2100/2500,,50,Rana.Christie30@T-Mobile.com,,,37.7683045,-122.4175365
Tmobile,SF03104A,735 MONTGOMERY ST,,0195,001,C-2,65-A,Office,,,,6,Roof,,600/700/1900/2100/2500,,79,Rana.Christie30@T-Mobile.com,,,37.796124,-122.403744
Tmobile,SF03127A,4150 CLEMENT ST,,N/A,NA,NA,NA,Hospital,,,,9,Roof,,600/700/1900/2100/2500,,86.1805,Rana.Christie30@T-Mobile.com,,,37.781859,-122.5056
Tmobile,SF03139A,1740 SLOAT BLVD,,2522,010,RH-1(D),40-X,Quasi-Public,,,,6,Roof,,600/700/1900/2100/2500,,67.2768,Rana.Christie30@T-Mobile.com,,,37.734298,-122.491923
Tmobile,SF03145A,1099 FOLSOM ST,,3751,034,SLR,50-X,Industrial,,,,6,Ground,,1900/2100,,15.0261,Rana.Christie30@T-Mobile.com,,,37.776651,-122.407416
Tmobile,SF03147A,550 CALIFORNIA ST,,0240,003,C-3-O,300-S,Office,,,,6,Internal,,1900/2100/2500,,20.4072,Rana.Christie30@T-Mobile.com,,,37.79364689,-122.403828
Tmobile,SF03149A,2499 LOMBARD ST,,0937,020,NC-3,40-X,Commercial,,,,6,Ground,,600/700/1900/2100/2500,,20.3072,Rana.Christie30@T-Mobile.com,,,37.798751,-122.442183
Tmobile,SF03150A,4100 24TH ST # 4108,,2831,005,24TH-NOE,40-X,Residential,,,,6,Roof,,600/700/1900/2100/2500,,44.0213,Rana.Christie30@T-Mobile.com,,,37.751403,-122.43446
Tmobile,SF03151A,1400 WASHINGTON ST,,0187,007,RM-3,65-A,Residential,,,,9,Roof,,1900/2100/2500,,60.2449,Rana.Christie30@T-Mobile.com,,,37.794073,-122.416589
Tmobile,SF03152A,1111 CALIFORNIA ST,,0253,020,RM-4,65-A,Commercial,,,,9,Roof,,600/700/1900/2100/2500,,52.31985,Rana.Christie30@T-Mobile.com,,,37.791248,-122.412946
Tmobile,SF03156A,2288 BROADWAY ST,,0564,019,RM-1,40-X,Residential,,,,6,Roof,,600/700/1900/2100/2500,,135.2712,Rana.Christie30@T-Mobile.com,,,37.794493,-122.434745
Tmobile,SF03173A,2036 LOMBARD ST,,0492,011 & 012,NC-3,40-X,Commercial,,,,2,Basement,,1900/2100,,25.1546,Rana.Christie30@T-Mobile.com,,,37.800375,-122.435575
Tmobile,SF03252A,2099 MARKET ST,,3544,065,UPR MARKET,80-B,Commercial,,,,6,Internal,,600/700/1900/2100/2500,,37.0021,Rana.Christie30@T-Mobile.com,,,37.767382,-122.428881
Tmobile,SF03267A,650 STANYAN ST # 652,,1228,009,RM-2,50-X,Residential,,,,9,Internal,,1900/2100/2500,,53.2585,Rana.Christie30@T-Mobile.com,,,37.76980489,-122.453278
Tmobile,SF03270A,311 CALIFORNIA ST,,0261,015,C-3-O,400-S,Office,,,,4,Basement,,1900/2100,,21.0285,Rana.Christie30@T-Mobile.com,,,37.792605,-122.400328
Tmobile,SF03274A,107 SAGAMORE ST,,7147,032,NC-1,40-X,Commercial,,,,9,Ground,,600/700/1900/2100/2500,,53,Rana.Christie30@T-Mobile.com,,,37.711222,-122.456189
Tmobile,SF03276A,2001 37TH AVE,,2094,006,RH-1,40-X,Institutional,,,,9,Roof,,600/700/1900/2100/2500,,46.2848,Rana.Christie30@T-Mobile.com,,,37.747795,-122.496045
Tmobile,SF03282A,1278 MARKET ST # 1298,,0355,010,C-3-O,80-X,Mixed-Use,,,,9,Internal,,600/700/1900/2100/2500,,14.0093,Rana.Christie30@T-Mobile.com,,,37.777838,-122.416418
Tmobile,SF03284A,1135 EVANS AVE,,4580,001,NC-2,40X,Mixed Use,,,,4,Ground,,1900/2100/2500,,47.3016,Rana.Christie30@T-Mobile.com,,,37.737335,-122.379991
Tmobile,SF03287A,450 HARRISON ST,,3748,031 & 012,RC-4,220-R,Commercial,,,,9,Roof,,600/700/1900/2100/2500,,78.1023,Rana.Christie30@T-Mobile.com,,,37.78649,-122.393141
Tmobile,SF03288A,246 1ST ST,,3736,006,C-3-O,200-S,Office,,,,6,Roof,,600/700/1900/2100/2500,,88.2688,Rana.Christie30@T-Mobile.com,,,37.787931,-122.395624
Tmobile,SF03289A,491 HAIGHT ST # 499,,859,025,NC-2,40-X,Mixed-Use,,,,9,Internal,,600/700/1900/2100/2500,,43.0045,Rana.Christie30@T-Mobile.com,,,37.772008,-122.430347
Tmobile,SF03296A,4200 BALBOA ST # 4214,,1586,014,RH-2,40-X,Residential,,,,9,Basement,,600/700/1900/2100/2500,,70.2944,Rana.Christie30@T-Mobile.com,,,37.775453,-122.504156
Tmobile,SF03298A,720 MOSCOW ST,,6338,024,p,40-X,Public,,,,6,Ground,,600/700/1900/2100/2500,,39.2984,Rana.Christie30@T-Mobile.com,,,37.716388,-122.431778
Tmobile,SF03451A,1201 HOWARD ST # 1205,,3729,001,SLR,50-X,Industrial,,,,9,Basement,,1900/2100/2500,,31.1242,Rana.Christie30@T-Mobile.com,,,37.77605489,-122.411583
Tmobile,SF03458A,1744 ARMSTRONG AVE,,5418,002D,M-1,65-J,light Industrial,,,,9,Roof,,600/700/1900/2100/2500,,77.31345,Rana.Christie30@T-Mobile.com,,,37.72836044,-122.395222
Tmobile,SF03459A,3070 CALIFORNIA ST,,1023,020,RH-2,40-X,Residential,,,,9,Ground,,1900/2100/2500,,50.2864,Rana.Christie30@T-Mobile.com,,,37.787582,-122.445036
Tmobile,SF03460A,2238 GEARY BLVD,,1079,007,NC-3,105-X,Office,,,,9,Roof,,600/700/1900/2100/2500,,114.2792,Rana.Christie30@T-Mobile.com,,,37.783391,-122.44088
Tmobile,SF03461A,2001 UNION ST,,0541,024,UNION NCD,40-X,Commercial,,,,9,Internal,,1900/2100/2500,,40.2697,Rana.Christie30@T-Mobile.com,,,37.797365,-122.432702
Tmobile,SF03578A,389 9TH AVE,,1441,035,INNER CLEMENT,40-X,Quasi-Public,,,,9,Roof,,600/700/1900/2100/2500,,71.31105,Rana.Christie30@T-Mobile.com,,,37.781194,-122.468119
Tmobile,SF03580A,425 DIVISADERO ST,,1215,016,NC-2,40-X,Commercial,,,,9,Internal,,600/700/1900/2100/2500,,67.93265,Rana.Christie30@T-Mobile.com,,,37.77336044,-122.437639
Tmobile,SF03581A,510 26th Ave,,1519,035A,NC-3,40-X,Residential,,,,9,Roof,,600/700/1900/2100/2500,,76.2093,Rana.Christie30@T-Mobile.com,,,37.779638,-122.485455
Tmobile,SF03582A,1 MCCOPPIN ST,,3513,001,C-M,105-E,Quasi-Public,,,,9,Roof,,600/700/1900/2100/2500,,75.28,Rana.Christie30@T-Mobile.com,,,37.771646,-122.420944
Tmobile,SF1010BA,1398 Bryant St,,NA,NA,NA,NA,Utility Pole,,,,,NA,,1900/2100,,42,Rana.Christie30@T-Mobile.com,,,37.76860797,-122.410992
Tmobile,SF1011BA,1398 Bryant St.,,NA,NA,NA,NA,Utility Pole,,,,,NA,,1900/2100,,42,Rana.Christie30@T-Mobile.com,,,37.76860797,-122.410992
Tmobile,SF1042BA,3001 Mission St.,,NA,NA,NA,NA,Utility Pole,,,,,NA,,1900/2100,,42,Rana.Christie30@T-Mobile.com,,,37.749047,-122.41794
Tmobile,SF1068BA,440 Mission St.,,NA,NA,NA,NA,Utility Pole,,,,,NA,,1900/2100,,42,Rana.Christie30@T-Mobile.com,,,37.790077,-122.397569
Tmobile,SF13001Z,260 STOCKTON ST,,0309,021,C3-R,80-130F,Commercial,,,,2,Roof,,600/700/1900/2100/2500,,69.2776,Rana.Christie30@T-Mobile.com,,,37.7883,-122.4066
Tmobile,SF13002Z,539 BRYANT ST,,3776,041,SLI,50-X,Commercial,,,,9,Roof,,1900/2100/2500,,59.2736,Rana.Christie30@T-Mobile.com,,,37.780168,-122.397085
Tmobile,SF13009C,510 Frederick St.,,1263,6,NC-1,40-X,Mixed-Use,,,,9,Basement,,1900/2100/2500,,50.141877,Rana.Christie30@T-Mobile.com,,,37.766487,-122.453398
Tmobile,SF13014A,1399 43rd Ave.,,1798,59,RH-2,40-X,Church,,,,1,Ground,,600/700/1900/2100,,30.0157,Rana.Christie30@T-Mobile.com,,,37.76042857,-122.50275
Tmobile,SF13021B,2500 Noriega St.,,2017,021,NC-2,40-X,Commercial,,,,4,Roof,,600/700/1900/2100/2500,,51.075,Rana.Christie30@T-Mobile.com,,,37.753768,-122.490529
Tmobile,SF13023B,590 Bosworth St.,,6745,044,NC-2,40-X,Mixed-Use,,,,9,Roof,,1900/2100/2500,,37.2521,Rana.Christie30@T-Mobile.com,,,37.733663,-122.433745
Tmobile,SF70044M,1101-1123 Fillmore St,,NA,NA,NA,NA,Building,,,,3,NA,,1900/2100,,42,Rana.Christie30@T-Mobile.com,,,37.78,-122.432
Tmobile,SF70045M,375 Alabama St,,3966,002,PDR-1-G,68-X,Building,,,,9,Roof,,600/700/1900/2100/2500,,67,Rana.Christie30@T-Mobile.com,,,37.7644,-122.412
Tmobile,SF70072M,965 Sutter St,,0300,022,RC-4,80-A,Mixed Use,,,,10,Basement,,600/700/1900/2100/2500,,112.31105,Rana.Christie30@T-Mobile.com,,,37.788098,-122.416118
Tmobile,SF70359A,1525 Market St.  (Use entrance at 1 Van Ness Ave),,NA,NA,NA,NA,Building,,,,9,NA,,600/700/1900/2100/2500,,42,Rana.Christie30@T-Mobile.com,,,37.775047,-122.418713
Tmobile,SF70501M,201 California St,,0262,021,C-3-O,400-S,Building,,,,9,Roof,,600/700/1900/2100/2500,,230,Rana.Christie30@T-Mobile.com,,,37.79304,-122.399036
Tmobile,SF70509M,3001-3019 Mission St,,6570,013,NCT,55-X,Building,,,,9,Ground,,600/700/1900/2100/2500,,70,Rana.Christie30@T-Mobile.com,,,37.749047,-122.41794
Tmobile,SF70555M,1525 Ocean Ave,,NA,NA,NA,NA,Building,,,,9,NA,,1900/2100/2500,,56,Rana.Christie30@T-Mobile.com,,,37.724183,-122.4588
Tmobile,SF70557M,550 15th St,,3918,010,PDR-1-D,40-X,Building,,,,9,Roof,,600/700/1900/2100/2500,,48,Rana.Christie30@T-Mobile.com,,,37.7675,-122.406
Tmobile,SF70565M,5630 Mission Street,,0,0,0,0,Commercial,,,,6,Roof,,1900/2100/2500,,60,Rana.Christie30@T-Mobile.com,,,37.7112,-122.4472
Tmobile,SF70568M,199 Leland Ave,,NA,NA,NA,NA,Building,,,,6,NA,,600/700/1900/2100/2500,,38,Rana.Christie30@T-Mobile.com,,,37.712392,-122.40736
Tmobile,SF70569M,888 Innes Ave,,4645,014,NC-2,40-X,Commercial,,,,6,Ground,,600/700/1900/2100/2500,,24.052668,Rana.Christie30@T-Mobile.com,,,37.732006,-122.375317
Tmobile,SF70589M,5024 3rd St,,0,0,0,0,Commercial,,,,9,Roof,,600/700/1900/2100/2500,,35,Rana.Christie30@T-Mobile.com,,,37.73285,-122.39158
Tmobile,SF72014M,1800 Sutter St.,,"0676/033
0676/072-073",0,"RM-3, NCD","50-X, 40-X",Building,,,,9,Rooftop,,600/700/1900/2100/2500,,100,Rana.Christie30@T-Mobile.com,,,37.78672,-122.43032
Tmobile,SF73292A,801 MISSION ST # 825,,NA,NA,NA,NA,Building,,,,3,Rooftop,,600/700/1900/2100/2500,,84,Rana.Christie30@T-Mobile.com,,,37.783915,-122.404305
Tmobile,SF93090A,2 Geneva Ave,,NA,NA,NA,NA,Building,,,,9,Rooftop,,600/700/1900/2100/2500,,53,Rana.Christie30@T-Mobile.com,,,37.722587,-122.451848
Tmobile,SF93199A,1450 Battery caulfield Rd,,NA,NA,NA,NA,non-bldg,,,,6,Ground,,600/700/1900/2100,,115,Rana.Christie30@T-Mobile.com,,,37.7927,-122.4743
Tmobile,SF93356C,601 Van Ness,,NA,NA,NA,NA,Building,,,,9,NA,,600/700/1900/2100/2500,,140,Rana.Christie30@T-Mobile.com,,,37.781169,-122.421352
Tmobile,SF93462A,601 Market St,,NA,NA,NA,NA,Building,,,,6,Ground,,600/700/1900/2100/2500,,199,Rana.Christie30@T-Mobile.com,,,37.78908056,-122.4013306
Tmobile,SF93688A,470 Winston Dr,,NA,NA,NA,NA,Building,,,,9,NA,,600/700/1900/2100/2500,,133,Rana.Christie30@T-Mobile.com,,,37.7178,-122.482
Tmobile,SF93690A,336 Judah St,,NA,NA,NA,NA,Building,,,,6,NA,,600/700/1900/2100/2500,,49,Rana.Christie30@T-Mobile.com,,,37.76227,-122.46694
Tmobile,SF93699A,301 Executive Park Blvd.,,NA,NA,NA,NA,Building,,,,4,NA,,600/700/1900/2100/2500,,108,Rana.Christie30@T-Mobile.com,,,37.7114,-122.3921
Tmobile,SFH3041A,720 Howard St,,NA,NA,NA,NA,In-Building,,,,,Basement,,,,42,Rana.Christie30@T-Mobile.com,,,37.78436078,-122.401833
Tmobile,SFYH030A,200 Folsom St,,NA,NA,NA,NA,In-Building,,,,,NA,,,,42,Rana.Christie30@T-Mobile.com,,,37.788817,-122.397229
Tmobile,SF03146A,1 HALLIDIE PLZ,,NA,NA,NA,NA,Office,,,,6,Internal,,600/700/1900/2100/2500,,26.9981,Rana.Christie30@T-Mobile.com,,,37.784363,-122.408771
Tmobile,SF03268A,HWY 101 & MERCHANT RD,,NA,NA,NA,NA,mixed use,,,,9,Ground,,600/700/1900/2100/2500,,37.33025,Rana.Christie30@T-Mobile.com,,,37.806888,-122.475771
Tmobile,SF03283A,280 FELL ST/ 300 GOUGH ST,,0816,008,HAYES NCD,50-X,Mixed-Use,,,,2,Internal,,1900/2100,,26.0141,Rana.Christie30@T-Mobile.com,,,37.77605489,-122.422694
Tmobile,SF1061BA,126 Bryant St,,NA,NA,NA,NA,Building,,,,,NA,,1900/2100,,42,Rana.Christie30@T-Mobile.com,,,37.790077,-122.397569
Tmobile,SF93159A,582 Jones St,,NA,NA,NA,NA,Building,,,,9,NA,,600/700/1900/2100,,92,Rana.Christie30@T-Mobile.com,,,37.786593,-122.412984
Tmobile,SFH3912A,24 Willie Mays Plz,,NA,NA,NA,NA,In-Building,,,,6,NA,,1900/2100/2500,,42,Rana.Christie30@T-Mobile.com,,,37.778674,-122.389276
